node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until
10000061,RED ROSE INC.,RED ROSE INC.,,SAM,Samoa,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1001902,17-OCT-2006,,,,Active,Mossack Fonseca,28417,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10000126,VICTORY SERVICE LTD.,VICTORY SERVICE LTD.,,SAM,Samoa,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1000915,05-JAN-2006,09-DEC-2011,15-FEB-2012,,Dissolved,Mossack Fonseca,23834,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10000127,BEST IDEA GROUP LTD.,BEST IDEA GROUP LTD.,,SAM,Samoa,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1000917,05-JAN-2006,10-SEP-2008,15-FEB-2008,,Defaulted,Mossack Fonseca,23836,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10000585,HUNBORTON LLP,HUNBORTON LLP,,UK,United Kingdom,,SUAREZ & ASOCIADOS CONSULTORIA EMPRESARIAL CARRERA 11D NO. 118 A  - 44   BOGOTA, COLOMBIA BOGOTA COLOMBIA,1100288,28-JAN-2015,,,,Active,Mossack Fonseca,OC397812,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10000773,OVANO LLP.,OVANO LLP.,,UK,United Kingdom,,SIMON BEETAR AV. CARRERA 9 NO. 115-06/30  OF. 801 BOGOTA,COLOMBIA,1100253,21-JUL-2014,,,,Active,Mossack Fonseca,OC394393,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10001883,BO ALLIANCE LLP,BO ALLIANCE LLP,,UK,United Kingdom,,JOSE MIGUEL CORREA CALLE 93A N. 14 - 17 OFICINA 704 EDIFICIO CENTRO 93 BOGOTÃ, COLOMBIA BOGOTA COLOMBIA,1100196,26-NOV-2013,,,,Active,Mossack Fonseca,OC389448,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10001888,ZINNIA ENTERPRISES LLP,ZINNIA ENTERPRISES LLP,,UK,United Kingdom,,"JULIANA RESTREPO HERON CALLE 12 SUR 25-15, MALL COMPLEX LOS BALSOS, INTERIOR 224 MEDELLÃN COLOMBIA",1100210,13-DEC-2013,,,,Active,Mossack Fonseca,OC389861,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10001889,DISTRIWINES LLP,DISTRIWINES LLP,,UK,United Kingdom,,MARTIN GOMEZ MEJIA CRA 42 # 16 A SUR- 14 APTO 301 MEDELLIN COLOMBIA,1100323,02-JUN-2015,,,,Active,Mossack Fonseca,OC400160,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10001951,PREMIUM INVESTMENTS LLP,PREMIUM INVESTMENTS LLP,,UK,United Kingdom,,BERNAL MEDINA LAVERDE CARRERA 13A NO. 89-38 OFICINA 613 NIPPON CENTER SANTAFE DE BOGOTÃ COLOMBIA,1100200,28-NOV-2013,,,,Active,Mossack Fonseca,OC389573,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
10002285,PANSY INVESTMENTS LLP,PANSY INVESTMENTS LLP,,UK,United Kingdom,,"JULIANA RESTREPO HERON CALLE 12 SUR 25-15, MALL COMPLEX LOS BALSOS, INTERIOR 224 MEDELLÃN COLOMBIA",1100207,11-DEC-2013,,,,Active,Mossack Fonseca,OC389830,COL,Colombia,Panama Papers,The Panama Papers data is current through 2015
