node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
10046429,10193059,same_as,same name and registration date as,,,,
10081048,10083805,same_as,same name and registration date as,,,,
10130272,10162686,same_as,same name and registration date as,,,,
11000375,10166745,intermediary_of,intermediary of,,,,Panama Papers
11000565,10169195,intermediary_of,intermediary of,,,,Panama Papers
11000569,10191631,intermediary_of,intermediary of,,,,Panama Papers
11000577,10077937,intermediary_of,intermediary of,,,,Panama Papers
11000631,10085165,intermediary_of,intermediary of,,,,Panama Papers
11000631,10076168,intermediary_of,intermediary of,,,,Panama Papers
11000669,10010528,intermediary_of,intermediary of,,,,Panama Papers
11000669,10010107,intermediary_of,intermediary of,,,,Panama Papers
11000669,10190309,intermediary_of,intermediary of,,,,Panama Papers
11000669,10030488,intermediary_of,intermediary of,,,,Panama Papers
11000680,10191303,intermediary_of,intermediary of,,,,Panama Papers
11000680,10101752,intermediary_of,intermediary of,,,,Panama Papers
11000680,10050420,intermediary_of,intermediary of,,,,Panama Papers
11000680,10042459,intermediary_of,intermediary of,,,,Panama Papers
11000701,10027965,intermediary_of,intermediary of,,,,Panama Papers
11000701,10024807,intermediary_of,intermediary of,,,,Panama Papers
11000701,10024523,intermediary_of,intermediary of,,,,Panama Papers
11000701,10023490,intermediary_of,intermediary of,,,,Panama Papers
11000701,10016672,intermediary_of,intermediary of,,,,Panama Papers
11000701,10016671,intermediary_of,intermediary of,,,,Panama Papers
11000701,10200462,intermediary_of,intermediary of,,,,Panama Papers
11000701,10202171,intermediary_of,intermediary of,,,,Panama Papers
11000701,10193682,intermediary_of,intermediary of,,,,Panama Papers
11000701,10198565,intermediary_of,intermediary of,,,,Panama Papers
11000701,10199250,intermediary_of,intermediary of,,,,Panama Papers
11000701,10180992,intermediary_of,intermediary of,,,,Panama Papers
11000701,10102049,intermediary_of,intermediary of,,,,Panama Papers
11000701,10096141,intermediary_of,intermediary of,,,,Panama Papers
11000701,10095742,intermediary_of,intermediary of,,,,Panama Papers
11000701,10100023,intermediary_of,intermediary of,,,,Panama Papers
11000701,10104477,intermediary_of,intermediary of,,,,Panama Papers
11000701,10080392,intermediary_of,intermediary of,,,,Panama Papers
11000701,10079673,intermediary_of,intermediary of,,,,Panama Papers
11000701,10044116,intermediary_of,intermediary of,,,,Panama Papers
11000701,10044433,intermediary_of,intermediary of,,,,Panama Papers
11000701,10034861,intermediary_of,intermediary of,,,,Panama Papers
11000701,10032280,intermediary_of,intermediary of,,,,Panama Papers
11000701,10033731,intermediary_of,intermediary of,,,,Panama Papers
11000701,10032034,intermediary_of,intermediary of,,,,Panama Papers
11000701,10033737,intermediary_of,intermediary of,,,,Panama Papers
11000701,10028587,intermediary_of,intermediary of,,,,Panama Papers
11000701,10029699,intermediary_of,intermediary of,,,,Panama Papers
11000701,10028878,intermediary_of,intermediary of,,,,Panama Papers
11000701,10027295,intermediary_of,intermediary of,,,,Panama Papers
